    
Name                                     Id                                            Version
------------------------------------------------------------------------------------------------------------------
Zap                                      Zap.Zap                                       2.9.0
Yubikey Manager                          Yubico.YubikeyManager                         1.1.5
YoudaoNote                               Youdao.YoudaoNote                             6.10.1
YoudaoDict                               Youdao.YoudaoDict                             8.9
yomail                                   yomail.yomail                                 8.8.0.2
Yarn                                     Yarn.Yarn                                     1.22.5
YaCy                                     YaCy.YaCy                                     1.922
YACReader                                YACReader.YACReader                           9.7.1
XunleiMediaPlayer                        Xunlei.XunleiMediaPlayer                      6.1.7.810
XnViewClassic                            XnSoft.XnViewClassic                          2.49.4
XMake                                    Xmake-io.Xmake                                2.3.9
Deepvocal Itsuki Yoru Japanese voicebank xinxex.deepvocal-Itsukiyoru-jpn               1.0
HTTrack Website Copier                   XavierRoche.HTTrack                           3.49.2
Twinkle Tray                             XanderFrangos.TwinkleTray                     1.12.2
Wnmp                                     x64architecture.Wnmp                          3.2.2
writage                                  writage.writage                               2.3
Local                                    WPEngine.Local                                5.5.3
Workrave                                 Workrave.Workrave                             1.10.44
Wireshark                                WiresharkFoundation.Wireshark                 3.4.2.0
Wireguard                                Wireguard.Wireguard                           0.3.4
WinDirStat: Windows Directory Statistics WinDirStat.WinDirStat                         1.1.2
Ryzom                                    WinchGate.Ryzom                               3.6
win32diskimager                          Win32diskimager.win32diskimager               1.0.0
0 A.D.                                   WildfireGames.0AD                             0.0.23b
OnenoteTaggingKit                        wethat.onenotetaggingkit                      3.8.7617.36152
Markdown Monster                         WestWind.MarkdownMonster                      1.24.12
The Battle for Wesnoth                   Wesnoth.BattleForWesnoth                      1.14.12
WeakAuras Companion                      WeakAuras.WeakAurasCompanion                  3.1.1
Waterfox                                 Waterfox.Waterfox                             2020.10.0
Warzone 2100                             Warzone2100Project.Warzone2100                3.4.0
Englishize Cmd                           wandersick.EnglishizeCmd                      2.0.0.0
ChMac                                    wandersick.ChMac                              2.0.0.5
AeroZoom                                 wandersick.AeroZoom                           4.0.0.7
butterflow-ui                            wagesj45.butterflow-ui                        1.1.0
VREW                                     VoyagerX.Vrew                                 0.4.18
VMware Workstation Pro                   VMware.WorkstationPro                         16.1.0
VMware Workstation Player                VMware.WorkstationPlayer                      16.1.0
HorizonClient                            VMware.HorizonClient                          8.0.0-16531419
Vivaldi                                  VivaldiTechnologies.Vivaldi                   3.4.2066.94
Virtual Magnifying Glass                 VirtualMagnifyingGlass.VirtualMagnifyingGlass 3.6
