    
Name                                     Id                                            Version
------------------------------------------------------------------------------------------------------------------
Zygor Client                             ZygorGuides.ZygorClient                       4.3.9
Hyper                                    Zeit.Hyper                                    3.0.2.1510
Yubikey Manager                          Yubico.YubikeyManager                         1.1.5
YouTube Music Desktop App                Ytmdesktop.Ytmdesktop                         1.11.0
YoudaoNote                               Youdao.YoudaoNote                             6.10.1
YoudaoDict                               Youdao.YoudaoDict                             8.9
yomail                                   yomail.yomail                                 8.8.0.2
Yarn                                     Yarn.Yarn                                     1.22.5
YaCy                                     YaCy.YaCy                                     1.922
YACReader                                YACReader.YACReader                           9.7.1
XunleiMediaPlayer                        Xunlei.XunleiMediaPlayer                      6.1.7.810
Deepvocal Itsuki Yoru Japanese voicebank xinxex.deepvocal-Itsukiyoru-jpn               1.0
Twinkle Tray                             XanderFrangos.TwinkleTray                     1.12.2
Ryzom                                    WinchGate.Ryzom                               3.6
VREW                                     VoyagerX.Vrew                                 0.4.18
EverythingLite                           voidtools.EverythingLite                      1.4.1.988
Everything                               voidtools.Everything                          1.4.1.992
VMware Workstation Player                VMware.WorkstationPlayer                      16.1.0
Virtual Magnifying Glass                 VirtualMagnifyingGlass.VirtualMagnifyingGlass 3.6
Harmony                                  VincentL.Harmony                              0.9.1
VLC media player nightly                 VideoLAN.VLCNightly                           4.0.0-20201226
MediaMonkey                              VentisMediaInc.MediaMonkey                    4.1.29.1910
Foldit                                   UniversityOfWashington.Foldit                 20180312-1714f56737-win_x86
Weka                                     UniversityOfWaikato.Weka                      3.8.4
Orange                                   UniversityofLjubljana.Orange                  3.27.1
Unchecky                                 Unchecky.Unchecky                             1.2
BOINC                                    UCBerkeley.BOINC                              7.16.11
LightBulb                                Tyrrrz.LightBulb                              2.2.0
Typora                                   Typora.Typora                                 0.9.96
TypeFaster Typing Tutor                  TypeFaster.TypeFaster                         0.4.2
Electorrent                              Tympanix.Electorrent                          2.7.1.390
Authy                                    Twilio.Authy                                  1.8.3
MTPutty                                  TTYPlus.MTPutty                               1.7
Trelby                                   Trelby.Trelby                                 2.2
PhotoSync                                touchbyte.PhotoSync                           4.0.4
ImageView                                TonyPottier.ImageView                         2.0.0
FileZilla Client Nightly                 TimKosse.FileZillaClientNightly               3.52.0-beta1-20201224
Bulk Rename Utility                      TGRMNSoftware.BulkRenameUtility               3.3.1.0
Weiyun Sync                              Tencent.WeiyunSync                            3.0.0.456
Weiyun                                   Tencent.Weiyun                                5.1.873
QQPlayer                                 Tencent.QQPlayer_cn                           4.6.3.1104
Fiddler Everywhere Internal              Telerik.FiddlerEverywhereInternal             1.4.1-internal
Fiddler Everywhere Insiders              Telerik.FiddlerEverywhereInsiders             1.4.1-insiders
Fiddler Everywhere                       Telerik.FiddlerEverywhere                     1.4.1
Teamspeak Client                         TeamSpeakSystems.TeamSpeakClient              3.5.3.0
WinDynamicDesktop                        t1m0thyj.WinDynamicDesktop                    4.4.0
System Explorer                          SystemExplorer.SystemExplorer                 7.0.0
WinCDEmu                                 Sysprogs.WinCDEmu                             4.1
SyncTrayzor                              SyncTrayzor.SyncTrayzor                       1.1.24
MystiQ                                   SWL-X.MystiQ                                  20.02.18
Write                                    StylusLabs.Write                              3.0.0
Stretchly                                Stretchly.Stretchly                           1.3.0
StrawberryPerl                           StrawberryPerl.StrawberryPerl                 5.32.0.1
GitHubReleaseNotes                       StefHeyenrath.GitHubReleaseNotes              1.0.5.3
Spotify                                  Spotify.Spotify                               latest
Viscosity                                SparkLabs.Viscosity                           1.8.6
HackFonts                                SourceFoundry.HackFonts                       1.6.0
SMPlayer                                 SMPlayer.SMPlayer                             20.4.2
Autopsy                                  SleuthKit.Autopsy                             4.17.0
Citycraft Launcher                       Simon511000.CitycraftLauncher                 1.9.9
Beyond Compare 4                         ScooterSoftware.BeyondCompare4                4.3.7.25118
FFFTP                                    Sayuri.FFFTP                                  4.7
DYMO Label                               SanfordLP.DYMOLabel                           8.7.3.46663
DYMO Connect                             SanfordLP.DYMOConnect                         1.3.1
Google Play Music Desktop Player         SamuelAttard.GooglePlayMusicDesktopPlayer     4.7.1
Ruby with DevKit                         RubyInstallerTeam.RubyWithDevKit              2.7.2.1
Ruby                                     RubyInstallerTeam.Ruby                        2.7.2
RoyalTS                                  RoyalApps.RoyalTS                             5.03.61110.0
Bili                                     richasy.bili                                  1.3.8.0
ResponsivelyApp                          ResponsivelyApp.ResponsivelyApp               0.1.5
Raspberry Pi Imager                      RaspberryPiFoundation.RaspberryPiImager       1.5
SharpKeys                                RandyRants.SharpKeys                          3.9.2
Textify                                  rammichael.Textify                            1.8.2
Winamp                                   Radionomy.Winamp                              5.8.3660-Beta
Qv2ray                                   Qv2ray.Qv2ray                                 2.6.3
QMPlay2                                  QMPlay2.QMPlay2                               19.12.19
Python                                   Python.Python                                 3.9.1
PuTTY                                    PuTTY.PuTTY                                   0.74
Plex Media Player                        plex.plexmediaplayer                          2.58.0.1076
PlayStation Now                          PlayStation.PSNow                             11.2.2
Playnite                                 Playnite.Playnite                             8.7
Speccy                                   Piriform.Speccy                               1.32.740
Osu!                                     Peppy.Osu!                                    2020.523.0
AdvancedRestClient                       PawelPsztyc.AdvancedRestClient                15.0.5
Paragon Backup & Recovery CE             Paragon.ParagonBackupRecoveryCE               17.9.3.4927
Utaformatix                              oxygendioxide.utaformatix                     3.1
OutSystems Service Studio                OutSystems.ServiceStudio                      11.7.12.0
BatteryBar                               OsirisDevelopment.BatteryBar                  3.6.6
MySQL                                    Oracle.MySQL                                  8.0.22
4K Youtube to MP3 Free                   OpenMedia.4KYoutubetoMP3                      3.12.4
Node.js Nightly                          OpenJS.NodeJSNightly                          16.0.0-20201226
Desktop Editors                          ONLYOFFICE.DesktopEditors                     6.1.0.90
NeoLoad                                  Neotys.NeoLoad                                7.3
MyPaint                                  MyPaint.MyPaint                               2.0.1
MY.GAMES GameCenter                      MyGames.GameCenter                            4.0.1569.53606
Firefox Nightly                          Mozilla.FirefoxNightly                        86.0a1
Notejoy                                  MonkiLabs.Notejoy                             1.10.1
MongoDB Compass Readonly                 MongoDB.Compass.Readonly                      1.21.2
MongoDB Compass Community                MongoDB.Compass.Community                     1.21.2
ModernFlyouts                            ModernFlyouts.ModernFlyouts                   0.8.1.0
Satisfactory Mod Launcher                Mircearoata.SatisfactoryModLauncher           1.0.17
Visual Studio Community                  Microsoft.VisualStudio.Community              16.8.30804.86
Skype                                    Microsoft.Skype                               8.67.0.96
ProjectMyScreen                          Microsoft.ProjectMyScreen                     1.2.0.0
PowerToys                                Microsoft.PowerToys                           0.27.1
Mouse and Keyboard Center                Microsoft.MouseandKeyboardCenter              12.181.137.0
Ironpython 2                             Microsoft.Ironpython2                         2.7.10
Microsoft Deployment Toolkit             Microsoft.DeploymentToolkit                   8456
Accessibility Insights for Windows       Microsoft.AccessibilityInsightsWindows        1.1.1334.2
Those Funny Funguloids!                  MHGames.ThoseFunnyFunguloids                  1.06
Shotcut                                  Meltytech.Shotcut                             20.07.11
Monkey's Audio                           MatthewAshland.MonkeysAudio                   5.55
TesseractOCR                             MannheimUniversityLibrary.TesseractOCR        5.0.0
Malwarebytes                             Malwarebytes.Malwarebytes                     4.2.1.89
MacType                                  MacType.MacType                               2019.1-beta6
Encrypto                                 MacPaw.Encrypto                               1.0.1
LyX                                      LyX.LyX                                       2.3.5.2
PyMODA                                   LUPhysics.PyMODA                              1.1.0
EasyConnect                              lstratman.easyconnect                         3.0.0.82
MyMoney.Net                              LovettSoftware.MyMoney.Net                    1.1.65.0
Logitech Harmony Remote                  Logitech.Harmony                              1.0.1.308
AutoHotkey                               Lexikos.AutoHotkey                            1.1.33.02
FontBase                                 Levitsky.FontBase                             2.11.3
Lenovo System Update                     Lenovo.SystemUpdate                           5.07.0110
LBRY                                     LBRY.LBRY                                     0.47.1
Keybase                                  Keybase.Keybase                               5.6.0-20200528221358+040afтАж
Jianguoyun                               Jianguoyun.Jianguoyun                         4.3.5
Color Cop                                JayPrall.ColorCop                             5.4.3
HeavyLoad                                JAMSoftware.HeavyLoad                         3.6.0
Cyberduck                                Iterate.Cyberduck                             7.7.2
pyaudio                                  intxcc.pyaudio                                0.2.11
Extreme Tuning Utility                   Intel.ExtremeTuningUtility                    6.5.2.40
YogaDNS                                  Initex.YogaDNS                                1.14
Hyperspace Desktop                       HyperspaceDev.HyperspaceDesktop               1.1.3
Hyne Timber Design                       Hyne.TimberDesign                             7.5.14.2
Crypter                                  HR.Crypter                                    4.0.0
HP Cloud Recovery Tool                   HP.HPCloudRecoveryTool                        2.5.3
IDA Freeware                             HexRays.IDA-Freeware                          7.0
simplewall                               Henry++.simplewall                            3.2.4
HandyWinget-GUI                          HandyOrg.HandyWinget-GUI                      1.3.0.1
GraphQL Playground                       Graphcool.GraphQLPlayground                   1.8.10
Google Backup And Sync                   Google.BackupAndSync                          latest
GOG Galaxy                               GOG.Galaxy                                    2.0.30.20
Glary Utilities                          Glarysoft.GlaryUtilities                      5.148
Cherrytree                               Giuspen.Cherrytree                            0.39.3
Geometry                                 GeoGebra.Geometry                             6.0.600.0
Geany                                    Geany.Geany                                   1.36
TypeRefHasher                            GDATA.TypeRefHasher                           1.0.2
FormatFactory                            FreeTime.FormatFactory                        5.4.5
Mailspring                               Foundry376.Mailspring                         1.7.8
Files                                    Files-Community.Files                         0.21.1
FastCopy                                 FastCopy.FastCopy                             3.92
PDFreDirect                              EXPSystems.PDFreDirect                        2.5.2.0
Yinxiang                                 evernote.yinxiang                             6.21.22.2498
Terminus                                 Eugeny.Terminus                               1.0.120
Taiga                                    erengy.Taiga                                  1.3.1
Electron Fiddle                          ElectronCommunity.ElectronFiddle              0.15.1
UXL Launcher                             DrewNaylor.UXL-Launcher                       4.0
guinget                                  DrewNaylor.guinget                            0.1.3
Doomsday                                 Doomsday.Doomsday                             2.2.2
DJIAssistant2ForBatteryStation           DJI.DJIAssistant2ForBatteryStation            2.0.1
Discord Canary                           Discord.DiscordCanary                         0.0.292
Doxygen                                  DimitriVanHeesch.Doxygen                      1.8.20
Wayk Now                                 Devolutions.WaykNow                           2020.1.7.0
DasKeyboard                              DasKeyboard.DasKeyboard                       3.2.6
